interview__key,interview__id,ip1,localite,structure,code_ppsp,intitule_ppsp,code_agent,sexe_agent_interv,age,handicap_agent_interv,annee_prise_poste,sssys_irnd,has__errors,interview__status,assignment__id,secteur,Code_secteur,qa21,qa22,qa23,qa31,qa32,qa33,qa34,qa35,qa41,qa42,qa43
00000001385,00000000000000000001385000,IP_1385,LOC185,Structure_35,852,PPSP_852,141,Femme,42,Non,2001,.89924896,0,102,1678,Secteur_2,8,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001386,00000000000000000001386000,IP_1386,LOC186,Structure_36,527,PPSP_527,152,Homme,30,Non,2004,.59088188,0,85,1807,Secteur_8,8,Oui,Non,Non,Satisfait,Satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001387,00000000000000000001387000,IP_1387,LOC187,Structure_37,303,PPSP_303,1987,Homme,39,Non,2022,.32375011,0,130,1616,Secteur_1,2,Non,Oui,Non,Très insatisfait,Très insatisfait,Très insatisfait,Très satisfait,Pas dutout motivé,pas du tout,Non,Oui
00000001388,00000000000000000001388000,IP_1388,LOC188,Structure_38,850,PPSP_850,771,Homme,22,Non,2003,.61678755,0,117,1566,Secteur_1,3,Oui,Non,Non,Satisfait,Très insatisfait,Très satisfait,Satisfait,Motivé,pas du tout,Oui,Non
00000001389,00000000000000000001389000,IP_1389,LOC189,Structure_39,646,PPSP_646,1511,Femme,47,Non,1995,.81670207,0,127,1758,Secteur_8,7,Non,Oui,Oui,Très insatisfait,Satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,pas du tout,Oui,Non
00000001390,00000000000000000001390000,IP_1390,LOC190,Structure_40,441,PPSP_441,754,Femme,55,Non,1999,.064080834,0,95,1755,Secteur_1,9,Oui,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Très satisfait,Motivé,oui,Non,Non
00000001391,00000000000000000001391000,IP_1391,LOC191,Structure_41,378,PPSP_378,833,Femme,40,Non,2018,.86279899,0,85,1816,Secteur_3,6,Non,Non,Oui,Très insatisfait,Très insatisfait,Très satisfait,Très satisfait,Un peu motivé,non,Oui,Non
00000001392,00000000000000000001392000,IP_1392,LOC192,Structure_42,825,PPSP_825,735,Homme,49,Oui,2021,.82500654,0,100,1760,Secteur_1,5,Oui,Oui,Non,Satisfait,Satisfait,Satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Oui
00000001393,00000000000000000001393000,IP_1393,LOC193,Structure_43,146,PPSP_146,152,Femme,28,Non,2001,.091539823,0,86,1742,Secteur_9,8,Oui,Oui,Oui,Satisfait,Satisfait,Très insatisfait,Très insatisfait,Motivé,oui,Oui,Oui
00000001394,00000000000000000001394000,IP_1394,LOC194,Structure_44,891,PPSP_891,1438,Homme,49,Non,2004,.32816845,0,125,1751,Secteur_9,2,Oui,Oui,Oui,Très insatisfait,Très satisfait,Satisfait,Satisfait,Motivé,oui,Non,Non
00000001395,00000000000000000001395000,IP_1395,LOC195,Structure_45,944,PPSP_944,693,Femme,23,Non,2014,.14078648,0,76,1510,Secteur_6,7,Oui,Non,Non,Très insatisfait,Très satisfait,Satisfait,Très insatisfait,Pas dutout motivé,pas du tout,Non,Oui
00000001396,00000000000000000001396000,IP_1396,LOC196,Structure_46,888,PPSP_888,95,Homme,47,Non,1991,.18157613,0,82,1514,Secteur_6,5,Oui,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Satisfait,Un peu motivé,oui,Non,Non
00000001397,00000000000000000001397000,IP_1397,LOC197,Structure_47,54,PPSP_54,1276,Homme,28,Non,2022,.38672167,0,69,1742,Secteur_7,2,Oui,Oui,Oui,Satisfait,Très insatisfait,Très insatisfait,Satisfait,Pas dutout motivé,oui,Oui,Oui
00000001398,00000000000000000001398000,IP_1398,LOC198,Structure_48,672,PPSP_672,1281,Femme,59,Non,2013,.45991036,0,95,1709,Secteur_1,4,Non,Oui,Non,Satisfait,Très satisfait,Très insatisfait,Très satisfait,Motivé,non,Oui,Non
00000001399,00000000000000000001399000,IP_1399,LOC199,Structure_49,232,PPSP_232,803,Homme,26,Non,2006,.00036450554,0,125,1440,Secteur_2,3,Oui,Oui,Non,Très satisfait,Satisfait,Très satisfait,Satisfait,Motivé,oui,Oui,Oui
00000001400,00000000000000000001400000,IP_1400,LOC0,Structure_50,92,PPSP_92,1242,Homme,45,Non,1993,.74856895,0,78,1703,Secteur_9,1,Oui,Non,Oui,Satisfait,Très insatisfait,Très insatisfait,Satisfait,Pas dutout motivé,oui,Oui,Non
00000001401,00000000000000000001401000,IP_1401,LOC1,Structure_51,359,PPSP_359,387,Femme,33,Non,1986,.83057868,0,110,1453,Secteur_8,8,Oui,Non,Oui,Satisfait,Satisfait,Très satisfait,Très satisfait,Motivé,oui,Oui,Non
00000001402,00000000000000000001402000,IP_1402,LOC2,Structure_52,225,PPSP_225,1387,Femme,56,Non,2004,.090870716,0,77,1618,Secteur_4,6,Oui,Oui,Non,Très satisfait,Satisfait,Très satisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Oui
00000001403,00000000000000000001403000,IP_1403,LOC3,Structure_53,664,PPSP_664,1097,Homme,56,Non,1995,.50762326,0,104,1835,Secteur_5,6,Oui,Non,Non,Satisfait,Satisfait,Très satisfait,Très insatisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001404,00000000000000000001404000,IP_1404,LOC4,Structure_54,797,PPSP_797,547,Femme,36,Oui,1999,.97746748,0,68,1659,Secteur_3,6,Non,Non,Non,Très satisfait,Très insatisfait,Très insatisfait,Satisfait,Pas dutout motivé,non,Non,Oui
00000001405,00000000000000000001405000,IP_1405,LOC5,Structure_55,829,PPSP_829,1322,Femme,41,Non,2024,.95701903,0,91,1843,Secteur_2,5,Oui,Non,Non,Très satisfait,Satisfait,Très satisfait,Très satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001406,00000000000000000001406000,IP_1406,LOC6,Structure_56,732,PPSP_732,706,Homme,47,Non,2000,.52794689,0,87,1842,Secteur_5,2,Oui,Non,Oui,Satisfait,Très insatisfait,Très satisfait,Très satisfait,Motivé,oui,Non,Oui
00000001407,00000000000000000001407000,IP_1407,LOC7,Structure_57,344,PPSP_344,1070,Femme,51,Oui,2002,.77932334,0,84,1680,Secteur_2,5,Oui,Oui,Oui,Très insatisfait,Très satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Non
00000001408,00000000000000000001408000,IP_1408,LOC8,Structure_58,106,PPSP_106,1874,Homme,26,Non,2013,.86917663,0,86,1778,Secteur_2,9,Oui,Oui,Non,Très insatisfait,Satisfait,Très insatisfait,Satisfait,Pas dutout motivé,oui,Oui,Oui
00000001409,00000000000000000001409000,IP_1409,LOC9,Structure_59,484,PPSP_484,1977,Homme,37,Non,2022,.15912005,0,100,1474,Secteur_6,5,Non,Non,Oui,Très insatisfait,Très insatisfait,Très satisfait,Très insatisfait,Motivé,oui,Non,Oui
00000001410,00000000000000000001410000,IP_1410,LOC10,Structure_60,751,PPSP_751,989,Femme,58,Non,1988,.80722004,0,81,1596,Secteur_7,9,Oui,Non,Oui,Très satisfait,Satisfait,Très satisfait,Très insatisfait,Motivé,pas du tout,Non,Oui
00000001411,00000000000000000001411000,IP_1411,LOC11,Structure_61,314,PPSP_314,962,Homme,35,Non,1987,.068066202,0,98,1500,Secteur_1,3,Non,Oui,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Très satisfait,Motivé,pas du tout,Oui,Oui
00000001412,00000000000000000001412000,IP_1412,LOC12,Structure_62,476,PPSP_476,1167,Femme,31,Non,2021,.61999559,0,130,1671,Secteur_3,8,Oui,Oui,Non,Très insatisfait,Très insatisfait,Très satisfait,Satisfait,Un peu motivé,oui,Oui,Non
00000001413,00000000000000000001413000,IP_1413,LOC13,Structure_63,472,PPSP_472,343,Homme,22,Non,2002,.61741275,0,103,1774,Secteur_6,1,Non,Non,Oui,Très satisfait,Très satisfait,Très insatisfait,Très satisfait,Motivé,non,Oui,Non
00000001414,00000000000000000001414000,IP_1414,LOC14,Structure_64,393,PPSP_393,1563,Homme,23,Non,2006,.78378969,0,109,1475,Secteur_6,9,Non,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Très satisfait,Un peu motivé,oui,Non,Oui
00000001415,00000000000000000001415000,IP_1415,LOC15,Structure_65,495,PPSP_495,977,Homme,59,Non,2021,.52231288,0,83,1762,Secteur_6,7,Oui,Oui,Oui,Très satisfait,Très insatisfait,Très insatisfait,Satisfait,Motivé,non,Oui,Oui
00000001416,00000000000000000001416000,IP_1416,LOC16,Structure_66,714,PPSP_714,1865,Homme,36,Non,2022,.28425512,0,113,1555,Secteur_2,6,Oui,Oui,Oui,Très satisfait,Satisfait,Satisfait,Satisfait,Un peu motivé,oui,Non,Oui
00000001417,00000000000000000001417000,IP_1417,LOC17,Structure_67,571,PPSP_571,1983,Femme,57,Non,2022,.24294142,0,123,1438,Secteur_8,1,Oui,Oui,Non,Très satisfait,Satisfait,Très satisfait,Très satisfait,Motivé,non,Oui,Non
00000001418,00000000000000000001418000,IP_1418,LOC18,Structure_68,844,PPSP_844,504,Femme,21,Non,2015,.083398908,0,106,1516,Secteur_6,7,Non,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Très satisfait,Motivé,pas du tout,Non,Non
00000001419,00000000000000000001419000,IP_1419,LOC19,Structure_69,961,PPSP_961,255,Femme,56,Non,2007,.21212608,0,72,1708,Secteur_8,6,Oui,Oui,Oui,Très satisfait,Satisfait,Très satisfait,Satisfait,Pas dutout motivé,oui,Non,Non
00000001420,00000000000000000001420000,IP_1420,LOC20,Structure_70,185,PPSP_185,271,Femme,54,Non,2000,.73451346,0,91,1674,Secteur_4,4,Oui,Oui,Oui,Très insatisfait,Satisfait,Très insatisfait,Très satisfait,Pas dutout motivé,non,Non,Non
00000001421,00000000000000000001421000,IP_1421,LOC21,Structure_71,570,PPSP_570,283,Homme,36,Non,1986,.94489837,0,85,1617,Secteur_8,8,Oui,Non,Oui,Très satisfait,Satisfait,Satisfait,Satisfait,Un peu motivé,oui,Oui,Oui
00000001422,00000000000000000001422000,IP_1422,LOC22,Structure_72,253,PPSP_253,1251,Femme,41,Non,2008,.74049282,0,95,1699,Secteur_6,8,Oui,Oui,Non,Satisfait,Très insatisfait,Très satisfait,Très satisfait,Pas dutout motivé,oui,Oui,Oui
00000001423,00000000000000000001423000,IP_1423,LOC23,Structure_73,900,PPSP_900,1907,Homme,30,Non,1995,.3149133,0,92,1783,Secteur_8,5,Oui,Non,Oui,Très insatisfait,Très satisfait,Très satisfait,Très satisfait,Motivé,pas du tout,Oui,Oui
00000001424,00000000000000000001424000,IP_1424,LOC24,Structure_74,235,PPSP_235,573,Homme,48,Non,2019,.60847545,0,121,1572,Secteur_8,5,Oui,Oui,Oui,Très insatisfait,Très satisfait,Très insatisfait,Satisfait,Un peu motivé,oui,Oui,Non
00000001425,00000000000000000001425000,IP_1425,LOC25,Structure_75,72,PPSP_72,1493,Femme,32,Non,2017,.043881726,0,119,1772,Secteur_5,7,Oui,Non,Oui,Très insatisfait,Satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,non,Non,Oui
00000001426,00000000000000000001426000,IP_1426,LOC26,Structure_76,871,PPSP_871,389,Femme,30,Non,2007,.24941233,0,109,1547,Secteur_9,6,Oui,Oui,Oui,Satisfait,Très satisfait,Satisfait,Satisfait,Un peu motivé,pas du tout,Oui,Non
00000001427,00000000000000000001427000,IP_1427,LOC27,Structure_77,489,PPSP_489,181,Femme,59,Non,2011,.1199888,0,104,1862,Secteur_5,7,Non,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Non
00000001428,00000000000000000001428000,IP_1428,LOC28,Structure_78,701,PPSP_701,425,Homme,43,Non,2020,.61037624,0,114,1448,Secteur_7,4,Oui,Oui,Non,Très insatisfait,Satisfait,Très insatisfait,Très satisfait,Motivé,non,Non,Oui
00000001429,00000000000000000001429000,IP_1429,LOC29,Structure_79,58,PPSP_58,1090,Femme,26,Oui,1993,.29875115,0,82,1551,Secteur_4,4,Oui,Oui,Oui,Satisfait,Très insatisfait,Très insatisfait,Satisfait,Motivé,pas du tout,Oui,Oui
00000001430,00000000000000000001430000,IP_1430,LOC30,Structure_80,940,PPSP_940,519,Femme,21,Non,1988,.73538369,0,100,1742,Secteur_4,2,Oui,Non,Non,Très satisfait,Très insatisfait,Satisfait,Très insatisfait,Un peu motivé,oui,Non,Oui
00000001431,00000000000000000001431000,IP_1431,LOC31,Structure_81,233,PPSP_233,1363,Homme,56,Non,2024,.41925445,0,76,1549,Secteur_5,3,Oui,Non,Oui,Satisfait,Très insatisfait,Satisfait,Très insatisfait,Un peu motivé,oui,Oui,Oui
00000001432,00000000000000000001432000,IP_1432,LOC32,Structure_82,849,PPSP_849,963,Femme,24,Non,1999,.49143484,0,111,1510,Secteur_1,1,Oui,Oui,Oui,Très satisfait,Satisfait,Très satisfait,Très satisfait,Motivé,pas du tout,Oui,Oui
00000001433,00000000000000000001433000,IP_1433,LOC33,Structure_83,932,PPSP_932,436,Femme,28,Non,2003,.78421986,0,113,1559,Secteur_8,2,Oui,Oui,Oui,Très satisfait,Satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Non
00000001434,00000000000000000001434000,IP_1434,LOC34,Structure_84,534,PPSP_534,586,Femme,56,Non,1990,.8444941,0,111,1704,Secteur_5,6,Oui,Oui,Non,Satisfait,Satisfait,Satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Oui
00000001435,00000000000000000001435000,IP_1435,LOC35,Structure_85,740,PPSP_740,343,Homme,35,Oui,1990,.3096022,0,116,1468,Secteur_5,3,Oui,Oui,Oui,Très insatisfait,Très satisfait,Très satisfait,Très satisfait,Un peu motivé,oui,Oui,Non
00000001436,00000000000000000001436000,IP_1436,LOC36,Structure_86,618,PPSP_618,937,Femme,38,Non,2010,.92143822,0,127,1804,Secteur_7,6,Oui,Oui,Oui,Satisfait,Très insatisfait,Satisfait,Satisfait,Motivé,oui,Oui,Oui
00000001437,00000000000000000001437000,IP_1437,LOC37,Structure_87,513,PPSP_513,642,Femme,33,Non,2021,.72753549,0,91,1597,Secteur_6,4,Oui,Non,Non,Très insatisfait,Très satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Oui
00000001438,00000000000000000001438000,IP_1438,LOC38,Structure_88,184,PPSP_184,1932,Femme,32,Non,2003,.22380677,0,120,1794,Secteur_6,8,Oui,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Satisfait,Motivé,non,Oui,Non
00000001439,00000000000000000001439000,IP_1439,LOC39,Structure_89,189,PPSP_189,1537,Femme,45,Non,2013,.46970034,0,118,1714,Secteur_1,9,Non,Oui,Oui,Très insatisfait,Très satisfait,Satisfait,Très insatisfait,Pas dutout motivé,pas du tout,Non,Oui
00000001440,00000000000000000001440000,IP_1440,LOC40,Structure_90,631,PPSP_631,19,Femme,46,Non,1992,.050030865,0,83,1683,Secteur_6,4,Oui,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Non
00000001441,00000000000000000001441000,IP_1441,LOC41,Structure_91,657,PPSP_657,1494,Homme,33,Oui,2019,.33866709,0,88,1660,Secteur_8,5,Oui,Oui,Non,Satisfait,Satisfait,Satisfait,Satisfait,Motivé,non,Oui,Non
00000001442,00000000000000000001442000,IP_1442,LOC42,Structure_92,691,PPSP_691,1540,Homme,57,Oui,2001,.70493752,0,106,1711,Secteur_1,2,Non,Non,Oui,Très satisfait,Très satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Oui
00000001443,00000000000000000001443000,IP_1443,LOC43,Structure_93,575,PPSP_575,1840,Homme,51,Oui,1990,.5464099,0,96,1669,Secteur_2,7,Non,Non,Oui,Satisfait,Très insatisfait,Satisfait,Satisfait,Un peu motivé,non,Oui,Oui
00000001444,00000000000000000001444000,IP_1444,LOC44,Structure_94,680,PPSP_680,497,Homme,35,Non,2018,.90351182,0,108,1443,Secteur_1,7,Oui,Non,Non,Très satisfait,Très satisfait,Très satisfait,Très satisfait,Motivé,non,Oui,Non
00000001445,00000000000000000001445000,IP_1445,LOC45,Structure_95,572,PPSP_572,1910,Homme,47,Non,1996,.55946022,0,66,1764,Secteur_8,2,Oui,Non,Non,Très satisfait,Très insatisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Oui
00000001446,00000000000000000001446000,IP_1446,LOC46,Structure_96,838,PPSP_838,1246,Femme,53,Non,2003,.77478248,0,66,1569,Secteur_5,4,Oui,Oui,Oui,Très satisfait,Très insatisfait,Très satisfait,Très satisfait,Un peu motivé,non,Oui,Non
00000001447,00000000000000000001447000,IP_1447,LOC47,Structure_97,774,PPSP_774,149,Femme,38,Non,2012,.96927017,0,110,1792,Secteur_2,7,Oui,Oui,Oui,Très insatisfait,Satisfait,Très insatisfait,Satisfait,Pas dutout motivé,non,Oui,Oui
00000001448,00000000000000000001448000,IP_1448,LOC48,Structure_98,482,PPSP_482,1604,Homme,25,Non,1986,.0041976864,0,102,1492,Secteur_1,8,Oui,Oui,Oui,Satisfait,Très insatisfait,Satisfait,Très insatisfait,Motivé,non,Oui,Non
00000001449,00000000000000000001449000,IP_1449,LOC49,Structure_99,71,PPSP_71,1441,Femme,50,Non,1997,.96787,0,110,1704,Secteur_3,1,Oui,Oui,Non,Très insatisfait,Très insatisfait,Très insatisfait,Satisfait,Pas dutout motivé,non,Oui,Non
00000001450,00000000000000000001450000,IP_1450,LOC50,Structure_100,548,PPSP_548,2004,Homme,42,Non,1998,.0086512426,0,88,1485,Secteur_6,7,Non,Oui,Non,Satisfait,Satisfait,Très insatisfait,Satisfait,Pas dutout motivé,oui,Oui,Oui
00000001451,00000000000000000001451000,IP_1451,LOC51,Structure_101,52,PPSP_52,1952,Femme,34,Non,2005,.38983828,0,130,1860,Secteur_8,8,Oui,Non,Oui,Très insatisfait,Très insatisfait,Satisfait,Très satisfait,Pas dutout motivé,pas du tout,Non,Oui
00000001452,00000000000000000001452000,IP_1452,LOC52,Structure_102,459,PPSP_459,1751,Homme,58,Oui,2012,.11019164,0,124,1819,Secteur_9,6,Oui,Oui,Non,Satisfait,Très satisfait,Satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Non
00000001453,00000000000000000001453000,IP_1453,LOC53,Structure_103,264,PPSP_264,1175,Homme,48,Non,2019,.68486148,0,95,1714,Secteur_1,3,Non,Oui,Oui,Satisfait,Très insatisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,non,Non,Oui
00000001454,00000000000000000001454000,IP_1454,LOC54,Structure_104,104,PPSP_104,1287,Homme,46,Non,2024,.34781528,0,85,1841,Secteur_7,2,Non,Oui,Oui,Satisfait,Satisfait,Satisfait,Très satisfait,Pas dutout motivé,non,Oui,Oui
00000001455,00000000000000000001455000,IP_1455,LOC55,Structure_105,767,PPSP_767,341,Homme,60,Non,1988,.22183856,0,86,1818,Secteur_7,6,Oui,Non,Non,Satisfait,Très satisfait,Satisfait,Très insatisfait,Un peu motivé,oui,Oui,Non
00000001456,00000000000000000001456000,IP_1456,LOC56,Structure_106,827,PPSP_827,309,Homme,27,Non,1991,.77314299,0,114,1638,Secteur_3,3,Oui,Non,Oui,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Un peu motivé,pas du tout,Oui,Non
00000001457,00000000000000000001457000,IP_1457,LOC57,Structure_107,15,PPSP_15,384,Femme,51,Non,1996,.89828217,0,125,1501,Secteur_9,5,Oui,Oui,Non,Très satisfait,Très insatisfait,Très insatisfait,Très insatisfait,Un peu motivé,non,Non,Oui
00000001458,00000000000000000001458000,IP_1458,LOC58,Structure_108,177,PPSP_177,445,Femme,26,Non,2018,.53764158,0,68,1812,Secteur_1,8,Oui,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Très insatisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001459,00000000000000000001459000,IP_1459,LOC59,Structure_109,375,PPSP_375,876,Homme,32,Non,2007,.20099208,0,66,1865,Secteur_5,1,Non,Oui,Non,Satisfait,Satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,non,Oui,Non
00000001460,00000000000000000001460000,IP_1460,LOC60,Structure_110,638,PPSP_638,1608,Homme,23,Non,1996,.06799347,0,122,1838,Secteur_6,4,Non,Oui,Oui,Satisfait,Très satisfait,Très insatisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Non
00000001461,00000000000000000001461000,IP_1461,LOC61,Structure_111,764,PPSP_764,631,Homme,38,Non,2006,.34709507,0,88,1485,Secteur_7,3,Non,Non,Non,Très satisfait,Très insatisfait,Très satisfait,Très satisfait,Un peu motivé,oui,Oui,Non
00000001462,00000000000000000001462000,IP_1462,LOC62,Structure_112,595,PPSP_595,564,Femme,29,Non,2018,.15428257,0,105,1614,Secteur_8,7,Oui,Non,Non,Satisfait,Très insatisfait,Très satisfait,Très insatisfait,Un peu motivé,oui,Oui,Oui
00000001463,00000000000000000001463000,IP_1463,LOC63,Structure_113,118,PPSP_118,941,Femme,44,Oui,2009,.19692558,0,86,1493,Secteur_7,2,Oui,Oui,Non,Très satisfait,Très insatisfait,Très insatisfait,Satisfait,Motivé,pas du tout,Non,Oui
00000001464,00000000000000000001464000,IP_1464,LOC64,Structure_114,516,PPSP_516,1032,Homme,22,Non,1995,.65709561,0,69,1673,Secteur_1,3,Non,Oui,Oui,Très satisfait,Satisfait,Satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Non
00000001465,00000000000000000001465000,IP_1465,LOC65,Structure_115,798,PPSP_798,1966,Femme,25,Non,1988,.30556884,0,127,1613,Secteur_1,4,Oui,Oui,Non,Très insatisfait,Satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Non,Oui
00000001466,00000000000000000001466000,IP_1466,LOC66,Structure_116,453,PPSP_453,781,Femme,33,Non,1996,.60620868,0,121,1856,Secteur_7,2,Oui,Oui,Oui,Très satisfait,Très insatisfait,Très satisfait,Très satisfait,Un peu motivé,pas du tout,Non,Non
00000001467,00000000000000000001467000,IP_1467,LOC67,Structure_117,975,PPSP_975,1542,Homme,55,Non,1986,.95473379,0,70,1642,Secteur_8,5,Oui,Non,Oui,Très insatisfait,Très satisfait,Très satisfait,Satisfait,Pas dutout motivé,non,Oui,Oui
00000001468,00000000000000000001468000,IP_1468,LOC68,Structure_118,138,PPSP_138,759,Homme,52,Non,2014,.3601568,0,84,1810,Secteur_2,6,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Très satisfait,Un peu motivé,oui,Oui,Non
00000001469,00000000000000000001469000,IP_1469,LOC69,Structure_119,477,PPSP_477,1171,Femme,27,Oui,2019,.80469197,0,130,1720,Secteur_7,3,Non,Non,Oui,Satisfait,Satisfait,Très insatisfait,Satisfait,Un peu motivé,oui,Oui,Oui
00000001470,00000000000000000001470000,IP_1470,LOC70,Structure_120,63,PPSP_63,1814,Homme,24,Non,2010,.97802258,0,104,1766,Secteur_5,1,Oui,Oui,Oui,Satisfait,Très insatisfait,Satisfait,Satisfait,Motivé,pas du tout,Oui,Non
00000001471,00000000000000000001471000,IP_1471,LOC71,Structure_121,570,PPSP_570,1821,Homme,59,Oui,2017,.78810626,0,83,1534,Secteur_8,5,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001472,00000000000000000001472000,IP_1472,LOC72,Structure_122,534,PPSP_534,1127,Femme,27,Non,2004,.87453336,0,104,1642,Secteur_2,9,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Satisfait,Très satisfait,Motivé,oui,Non,Non
00000001473,00000000000000000001473000,IP_1473,LOC73,Structure_123,913,PPSP_913,1994,Femme,27,Non,1988,.72473508,0,78,1536,Secteur_3,9,Non,Non,Oui,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Un peu motivé,oui,Non,Non
00000001474,00000000000000000001474000,IP_1474,LOC74,Structure_124,61,PPSP_61,354,Homme,39,Non,2009,.19942209,0,104,1590,Secteur_7,2,Non,Oui,Non,Très satisfait,Très insatisfait,Très satisfait,Très insatisfait,Pas dutout motivé,non,Non,Oui
00000001475,00000000000000000001475000,IP_1475,LOC75,Structure_125,602,PPSP_602,1626,Homme,24,Non,2003,.39772525,0,115,1629,Secteur_2,1,Oui,Non,Oui,Satisfait,Satisfait,Satisfait,Très satisfait,Pas dutout motivé,non,Oui,Non
00000001476,00000000000000000001476000,IP_1476,LOC76,Structure_126,950,PPSP_950,1702,Femme,38,Oui,2018,.70027637,0,68,1803,Secteur_5,5,Oui,Oui,Oui,Très insatisfait,Très satisfait,Très insatisfait,Satisfait,Pas dutout motivé,oui,Oui,Non
00000001477,00000000000000000001477000,IP_1477,LOC77,Structure_127,738,PPSP_738,1277,Homme,25,Non,1998,.061453808,0,93,1689,Secteur_3,2,Non,Non,Non,Très insatisfait,Satisfait,Très satisfait,Satisfait,Motivé,pas du tout,Non,Non
00000001478,00000000000000000001478000,IP_1478,LOC78,Structure_128,297,PPSP_297,15,Femme,32,Non,2024,.82628489,0,72,1694,Secteur_8,6,Oui,Non,Oui,Très satisfait,Très insatisfait,Très satisfait,Satisfait,Un peu motivé,pas du tout,Oui,Non
00000001479,00000000000000000001479000,IP_1479,LOC79,Structure_129,181,PPSP_181,1438,Femme,25,Non,2016,.90673429,0,88,1505,Secteur_2,4,Oui,Oui,Oui,Satisfait,Satisfait,Très satisfait,Très satisfait,Pas dutout motivé,oui,Oui,Non
00000001480,00000000000000000001480000,IP_1480,LOC80,Structure_130,871,PPSP_871,1110,Homme,40,Non,1998,.0912508,0,98,1806,Secteur_2,6,Oui,Non,Oui,Satisfait,Très satisfait,Très satisfait,Très insatisfait,Un peu motivé,oui,Oui,Oui
00000001481,00000000000000000001481000,IP_1481,LOC81,Structure_131,910,PPSP_910,1395,Femme,28,Non,1987,.4813464,0,79,1826,Secteur_9,4,Oui,Non,Oui,Satisfait,Très satisfait,Très satisfait,Très satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000001482,00000000000000000001482000,IP_1482,LOC82,Structure_132,741,PPSP_741,1707,Homme,39,Non,1990,.057308756,0,121,1568,Secteur_2,9,Oui,Non,Non,Très satisfait,Très satisfait,Très insatisfait,Satisfait,Pas dutout motivé,non,Non,Non
00000001483,00000000000000000001483000,IP_1483,LOC83,Structure_133,789,PPSP_789,1323,Femme,28,Non,1998,.37938699,0,82,1592,Secteur_2,3,Non,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Satisfait,Pas dutout motivé,non,Oui,Oui
00000001484,00000000000000000001484000,IP_1484,LOC84,Structure_134,271,PPSP_271,1343,Femme,54,Oui,2020,.82527405,0,79,1634,Secteur_8,7,Oui,Oui,Non,Très insatisfait,Très insatisfait,Satisfait,Très satisfait,Pas dutout motivé,non,Oui,Non
00000001485,00000000000000000001485000,IP_1485,LOC85,Structure_135,350,PPSP_350,510,Homme,50,Non,2016,.95891881,0,92,1732,Secteur_4,3,Non,Oui,Oui,Satisfait,Très insatisfait,Satisfait,Très insatisfait,Un peu motivé,non,Oui,Oui
00000001486,00000000000000000001486000,IP_1486,LOC86,Structure_136,502,PPSP_502,866,Homme,57,Non,1999,.66102785,0,67,1755,Secteur_8,1,Non,Oui,Oui,Très satisfait,Satisfait,Très satisfait,Très insatisfait,Motivé,pas du tout,Oui,Oui
